"","RPT_DT","OFNS_DESC","LAW_CAT_CD","BORO_NM","ADDR_PCT_CD","Latitude","Longitude","Lat_Lon","id","address","street_number","route","neighborhood","political","administrative_area_level_2","administrative_area_level_1","country","postal_code","postal_code_suffix","locality","premise","postal_code_new"
"1","04/26/2015","FELONY ASSAULT","FELONY","BROOKLYN",73,40.676080719,-73.905430888,"(40.676080719, -73.905430888)",1,"2401-2411 Atlantic Ave, Brooklyn, NY 11233, USA","2401-2411","Atlantic Avenue","Cypress Hills","Brooklyn","Kings County","New York","United States",11233,3406,NA,NA,"11233"
"2","10/12/2015","PETIT LARCENY","MISDEMEANOR","MANHATTAN",14,40.756642042,-73.988371577,"(40.756642042, -73.988371577)",2,"229-233 W 42nd St, New York, NY 10036, USA","229-233","West 42nd Street","Midtown","Manhattan","New York County","New York","United States",10036,NA,"New York",NA,"10036"
"3","06/07/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN",62,40.605748599,-74.006030119,"(40.605748599, -74.006030119)",3,"25-47 Rutherford Pl, Brooklyn, NY 11214, USA","25-47","Rutherford Place","Bath Beach","Brooklyn","Kings County","New York","United States",11214,NA,NA,NA,"11214"
"4","11/15/2015","HARRASSMENT 2","VIOLATION","QUEENS",109,40.755539692,-73.815489341,"(40.755539692, -73.815489341)",4,"45-6 Parsons Blvd, Flushing, NY 11355, USA","45-6","Parsons Boulevard","Flushing","Queens","Queens County","New York","United States",11355,NA,NA,NA,"11355"
"5","12/07/2015","CRIMINAL MISCHIEF & RELATED OF","FELONY","BROOKLYN",67,40.661456586,-73.928285308,"(40.661456586, -73.928285308)",5,"939 Rutland Rd, Brooklyn, NY 11212, USA","939","Rutland Road","East Flatbush","Brooklyn","Kings County","New York","United States",11212,NA,NA,NA,"11212"
"6","01/20/2015","HARRASSMENT 2","VIOLATION","QUEENS",100,40.592478755,-73.799697347,"(40.592478755, -73.799697347)",6,"71-2 Beach Channel Dr, Arverne, NY 11692, USA","71-2","Beach Channel Drive","Arverne","Queens","Queens County","New York","United States",11692,NA,NA,NA,"11692"
"7","07/18/2015","PETIT LARCENY","MISDEMEANOR","BROOKLYN",79,40.689085346,-73.955050763,"(40.689085346, -73.955050763)",7,"1048-1050 Bedford Ave, Brooklyn, NY 11205, USA","1048-1050","Bedford Avenue","Bedford-Stuyvesant","Brooklyn","Kings County","New York","United States",11205,NA,NA,NA,"11205"
"8","11/18/2015","FORGERY","FELONY","BROOKLYN",70,40.649468516,-73.958482969,"(40.649468516, -73.958482969)",8,"918B Flatbush Ave, Brooklyn, NY 11226, USA","918B","Flatbush Avenue","Flatbush - Ditmas Park","Brooklyn","Kings County","New York","United States",11226,NA,NA,NA,"11226"
"9","07/24/2015","BURGLARY","FELONY","BROOKLYN",77,40.670167427,-73.930993992,"(40.670167427, -73.930993992)",9,"245A Utica Ave, Brooklyn, NY 11213, USA","245A","Utica Avenue","Crown Heights","Brooklyn","Kings County","New York","United States",11213,NA,NA,NA,"11213"
"10","06/23/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","MANHATTAN",28,40.800728997,-73.950637475,"(40.800728997, -73.950637475)",10,"100 W 114th St, New York, NY 10026, USA","100","West 114th Street","Upper Manhattan","Manhattan","New York County","New York","United States",10026,NA,"New York",NA,"10026"
